Germany;Partner;year;cborder;Number
Germany;Austria;2010;1;1
Germany;Belgium;2010;1;2
Germany;Bulgaria;2010;0;3
Germany;Cyprus;2010;0;4
Germany;Czech Republic;2010;1;5
Germany;Denmark;2010;1;6
Germany;Spain;2010;0;7
Germany;Estonia;2010;0;8
Germany;Finland;2010;0;9
Germany;France;2010;0;10
Germany;United Kingdom;2010;0;11
Germany;Greece;2010;0;12
Germany;Croatia;2010;0;13
Germany;Hungary;2010;0;14
Germany;Ireland;2010;0;15
Germany;Italy;2010;0;16
Germany;Lithuania;2010;0;17
Germany;Luxembourg;2010;0;18
Germany;Latvia;2010;0;19
Germany;Malta;2010;0;20
Germany;Netherlands;2010;1;21
Germany;Poland;2010;1;22
Germany;Portugal;2010;0;23
Germany;Romania;2010;0;24
Germany;Slovak Republic;2010;0;25
Germany;Slovenia;2010;0;26
Germany;Sweden;2010;0;27
France;Austria;2010;0;28
France;Belgium;2010;1;29
France;Bulgaria;2010;0;30
France;Cyprus;2010;0;31
France;Czech Republic;2010;0;32
France;Germany;2010;1;33
France;Denmark;2010;0;34
France;Spain;2010;1;35
France;Estonia;2010;0;36
France;Finland;2010;0;37
France;United Kingdom;2010;0;38
France;Greece;2010;0;39
France;Croatia;2010;0;40
France;Hungary;2010;0;41
France;Ireland;2010;0;42
France;Italy;2010;1;43
France;Lithuania;2010;0;44
France;Luxembourg;2010;1;45
France;Latvia;2010;0;46
France;Malta;2010;0;47
France;Netherlands;2010;0;48
France;Poland;2010;0;49
France;Portugal;2010;0;50
France;Romania;2010;0;51
France;Slovak Republic;2010;0;52
France;Slovenia;2010;0;53
France;Sweden;2010;0;54
Germany;Austria;2011;1;1
Germany;Belgium;2011;1;2
Germany;Bulgaria;2011;0;3
Germany;Cyprus;2011;0;4
Germany;Czech Republic;2011;1;5
Germany;Denmark;2011;1;6
Germany;Spain;2011;0;7
Germany;Estonia;2011;0;8
Germany;Finland;2011;0;9
Germany;France;2011;0;10
Germany;United Kingdom;2011;0;11
Germany;Greece;2011;0;12
Germany;Croatia;2011;0;13
Germany;Hungary;2011;0;14
Germany;Ireland;2011;0;15
Germany;Italy;2011;0;16
Germany;Lithuania;2011;0;17
Germany;Luxembourg;2011;0;18
Germany;Latvia;2011;0;19
Germany;Malta;2011;0;20
Germany;Netherlands;2011;1;21
Germany;Poland;2011;1;22
Germany;Portugal;2011;0;23
Germany;Romania;2011;0;24
Germany;Slovak Republic;2011;0;25
Germany;Slovenia;2011;0;26
Germany;Sweden;2011;0;27
France;Austria;2011;0;28
France;Belgium;2011;1;29
