Germany;Partner;year;e&i;Number
Germany;Austria;2010;116397597.42;1
Germany;Belgium;2010;106119922.48;2
Germany;Bulgaria;2010;5211947.97;3
Germany;Cyprus;2010;1289784.48;4
Germany;Czech Republic;2010;74978496.6;5
Germany;Denmark;2010;33471166.76;6
Germany;Spain;2010;75036779.77;7
Germany;Estonia;2010;2162195.43;8
Germany;Finland;2010;18329630.2;9
Germany;France;2010;201973268.1;10
Germany;United Kingdom;2010;129924306.23;11
Germany;Greece;2010;10449876.8;12
Germany;Croatia;2010;3659090.76;13
Germany;Hungary;2010;41027333.5;14
Germany;Ireland;2010;24124434.73;15
Germany;Italy;2010;135333056.56;16
Germany;Lithuania;2010;4350088.1;17
Germany;Luxembourg;2010;11550982.48;18
Germany;Latvia;2010;2111135.35;19
Germany;Malta;2010;955489.46;20
Germany;Netherlands;2010;174879681.53;21
Germany;Poland;2010;88068386.27;22
Germany;Portugal;2010;15893498.44;23
Germany;Romania;2010;18706964.04;24
Germany;Slovak Republic;2010;23997049.77;25
Germany;Slovenia;2010;9900250.37;26
Germany;Sweden;2010;43541749.86;27
France;Austria;2010;10343361.33;28
France;Belgium;2010;85464829.35;29
France;Bulgaria;2010;1668668.75;30
France;Cyprus;2010;491110.67;31
France;Czech Republic;2010;10457256.64;32
France;Germany;2010;186422562.04;33
France;Denmark;2010;6578013.01;34
France;Spain;2010;75164438.11;35
France;Estonia;2010;426008.49;36
France;Finland;2010;5381407.84;37
France;United Kingdom;2010;60317845.77;38
France;Greece;2010;4323316.49;39
France;Croatia;2010;556472.97;40
France;Hungary;2010;7723794.54;41
France;Ireland;2010;10522867.94;42
France;Italy;2010;86284108.58;43
France;Lithuania;2010;1345159.28;44
France;Luxembourg;2010;4633509.34;45
France;Latvia;2010;465714.15;46
France;Malta;2010;1084520.66;47
France;Netherlands;2010;46522164.81;48
France;Poland;2010;16973996.74;49
France;Portugal;2010;11126912.51;50
France;Romania;2010;7301138.82;51
France;Slovak Republic;2010;6187847.19;52
France;Slovenia;2010;3167232.93;53
France;Sweden;2010;14168435.67;54
Germany;Austria;2011;131835921.21;1
Germany;Belgium;2011;118620730.67;2
Germany;Bulgaria;2011;6245010.46;3
Germany;Cyprus;2011;1365644.42;4
Germany;Czech Republic;2011;88633906.93;5
Germany;Denmark;2011;37493575.46;6
Germany;Spain;2011;79853095.63;7
Germany;Estonia;2011;2877462.23;8
Germany;Finland;2011;20981694.16;9
Germany;France;2011;233431470.49;10
Germany;United Kingdom;2011;153509904.7;11
Germany;Greece;2011;9789548.78;12
Germany;Croatia;2011;4365905.86;13
Germany;Hungary;2011;47204167.37;14
Germany;Ireland;2011;23371427.41;15
Germany;Italy;2011;153446310.33;16
Germany;Lithuania;2011;5421532.28;17
Germany;Luxembourg;2011;12781514.75;18
Germany;Latvia;2011;2743245.39;19
Germany;Malta;2011;1034442.53;20
Germany;Netherlands;2011;210580636.07;21
Germany;Poland;2011;105559662.53;22
Germany;Portugal;2011;16341743.57;23
Germany;Romania;2011;23915317.14;24
Germany;Slovak Republic;2011;29454604.87;25
Germany;Slovenia;2011;11697854.32;26
Germany;Sweden;2011;50337637.13;27
France;Austria;2011;11891565.37;28
France;Belgium;2011;96963216.29;29
France;Bulgaria;2011;2066637.83;30
France;Cyprus;2011;593090.09;31
France;Czech Republic;2011;12824765.43;32
France;Germany;2011;219540496.04;33
France;Denmark;2011;7310102.29;34
France;Spain;2011;85095681.79;35
France;Estonia;2011;580662.78;36
France;Finland;2011;5491357.71;37
France;United Kingdom;2011;69490022.94;38
France;Greece;2011;4682466.49;39
France;Croatia;2011;934643.78;40
France;Hungary;2011;8946219.62;41
France;Ireland;2011;11931979.02;42
France;Italy;2011;99884175.13;43
France;Lithuania;2011;2159222.17;44
France;Luxembourg;2011;5011107.13;45
France;Latvia;2011;492226.92;46
France;Malta;2011;912034.47;47
France;Netherlands;2011;56035392.02;48
France;Poland;2011;20079479.6;49
France;Portugal;2011;12240578.21;50
France;Romania;2011;8546938.58;51
France;Slovak Republic;2011;7072895.29;52
France;Slovenia;2011;3285144.39;53
France;Sweden;2011;16179530.69;54
Germany;Austria;2012;119162724;1
Germany;Belgium;2012;104705455.05;2
Germany;Bulgaria;2012;6315437.1;3
Germany;Cyprus;2012;1029397.2;4
Germany;Czech Republic;2012;81974516.77;5
Germany;Denmark;2012;33658808.22;6
Germany;Spain;2012;69734933.19;7
Germany;Estonia;2012;2656260.52;8
Germany;Finland;2012;18258760.15;9
Germany;France;2012;213464894.46;10
Germany;United Kingdom;2012;144311539;11
Germany;Greece;2012;8412942.64;12
Germany;Croatia;2012;4023476.96;13
Germany;Hungary;2012;44567048.15;14
Germany;Ireland;2012;18959065.93;15
Germany;Italy;2012;132954136;16
Germany;Lithuania;2012;5329160.29;17
Germany;Luxembourg;2012;10661030.77;18
Germany;Latvia;2012;2709511.95;19
Germany;Malta;2012;839851.61;20
Germany;Netherlands;2012;200537225.42;21
Germany;Poland;2012;96206107.98;22
Germany;Portugal;2012;14173995.58;23
Germany;Romania;2012;22851948.57;24
Germany;Slovak Republic;2012;28734640.78;25
Germany;Slovenia;2012;10837053.9;26
Germany;Sweden;2012;44784922.01;27
France;Austria;2012;11467324.06;28
France;Belgium;2012;91317936.74;29
France;Bulgaria;2012;1920620.43;30
France;Cyprus;2012;595466;31
France;Czech Republic;2012;11339951.5;32
France;Germany;2012;207901087.08;33
France;Denmark;2012;6515086.94;34
France;Spain;2012;77858641.28;35
France;Estonia;2012;672670.2;36
France;Finland;2012;4697516.25;37
France;United Kingdom;2012;66958189.24;38
France;Greece;2012;3747274.27;39
France;Croatia;2012;650683.54;40
France;Hungary;2012;7817427.02;41
France;Ireland;2012;11823432.82;42
France;Italy;2012;89441585.37;43
France;Lithuania;2012;2212542.25;44
France;Luxembourg;2012;4464591.16;45
France;Latvia;2012;695473.69;46
France;Malta;2012;787786.37;47
France;Netherlands;2012;53146015.85;48
France;Poland;2012;18752924.96;49
France;Portugal;2012;10886014.26;50
France;Romania;2012;7467257.62;51
France;Slovak Republic;2012;6619989.05;52
France;Slovenia;2012;2665128.98;53
France;Sweden;2012;14058580.39;54
Germany;Austria;2013;123094282.95;1
Germany;Belgium;2013;108096626.17;2
Germany;Bulgaria;2013;7134727.42;3
Germany;Cyprus;2013;1304618.71;4
Germany;Czech Republic;2013;85069468.2;5
Germany;Denmark;2013;36367547.15;6
Germany;Spain;2013;73014207.45;7
Germany;Estonia;2013;2892386.14;8
Germany;Finland;2013;18884490.22;9
Germany;France;2013;216087166.53;10
Germany;United Kingdom;2013;147021587.75;11
Germany;Greece;2013;8643497.04;12
Germany;Croatia;2013;3954355.04;13
Germany;Hungary;2013;49113619.93;14
Germany;Ireland;2013;18910889.6;15
Germany;Italy;2013;132950158.71;16
Germany;Lithuania;2013;5603039.79;17
Germany;Luxembourg;2013;11210012.89;18
Germany;Latvia;2013;2725494.03;19
Germany;Malta;2013;1117389.65;20
Germany;Netherlands;2013;212015211.7;21
Germany;Poland;2013;104220093.41;22
Germany;Portugal;2013;15232141.49;23
Germany;Romania;2013;24976404.69;24
Germany;Slovak Republic;2013;30397831.93;25
Germany;Slovenia;2013;11531472.06;26
Germany;Sweden;2013;45955278.55;27
France;Austria;2013;11986338.82;28
France;Belgium;2013;96337372.89;29
France;Bulgaria;2013;2204332.37;30
France;Cyprus;2013;518814.56;31
France;Czech Republic;2013;11949155.9;32
France;Germany;2013;208655464.94;33
France;Denmark;2013;6471186.14;34
France;Spain;2013;79530641.41;35
France;Estonia;2013;715490.78;36
France;Finland;2013;4908243.15;37
France;France;2013;6372577.13;38
France;United Kingdom;2013;66695493.79;39
France;Greece;2013;3827247.14;40
France;Croatia;2013;605725.26;41
France;Hungary;2013;8145462.1;42
France;Ireland;2013;12008203.44;43
France;Italy;2013;88534883.89;44
France;Lithuania;2013;1666389.48;45
France;Luxembourg;2013;4534941.04;46
France;Latvia;2013;608464.58;47
France;Malta;2013;1017759.05;48
France;Netherlands;2013;52645971.83;49
France;Poland;2013;19664310.13;50
France;Portugal;2013;12089652.81;51
France;Slovak Republic;2013;6731466.8;52
France;Slovenia;2013;2637199.48;53
France;Sweden;2013;13964210.11;54
Germany;Austria;2014;122054573.59;1
Germany;Belgium;2014;108263518.44;2
Germany;Bulgaria;2014;7797880.06;3
Germany;Cyprus;2014;882162.13;4
Germany;Czech Republic;2014;93345437.81;5
Germany;Denmark;2014;38006736.22;6
Germany;Spain;2014;79198355.22;7
Germany;Estonia;2014;2974331.53;8
Germany;Finland;2014;21310712.77;9
Germany;France;2014;222216697.33;10
Germany;United Kingdom;2014;156281249.69;11
Germany;Greece;2014;8759366.61;12
Germany;Croatia;2014;4284934.76;13
Germany;Hungary;2014;55536271.28;14
Germany;Ireland;2014;18706597.59;15
Germany;Italy;2014;136504540.22;16
Germany;Lithuania;2014;5531797.58;17
Germany;Luxembourg;2014;11105841.32;18
Germany;Latvia;2014;2862020.64;19
Germany;Malta;2014;1204623.3;20
Germany;Netherlands;2014;213317663.74;21
Germany;Poland;2014;116061239.75;22
Germany;Portugal;2014;16368146.36;23
Germany;Romania;2014;27867835.16;24
Germany;Slovak Republic;2014;31997416.76;25
Germany;Slovenia;2014;11849129.18;26
Germany;Sweden;2014;47140803.07;27
France;Austria;2014;12462432.51;28
France;Belgium;2014;94186896.27;29
France;Bulgaria;2014;2248236.9;30
France;Cyprus;2014;704005.62;31
France;Czech Republic;2014;12607679.61;32
France;Germany;2014;206795462.35;33
France;Denmark;2014;6645985.16;34
France;Spain;2014;79508035.39;35
France;Estonia;2014;659129.95;36
France;Finland;2014;4429211.42;37
France;United Kingdom;2014;66229407.95;38
France;Greece;2014;3625877.69;39
France;Croatia;2014;603808.24;40
France;Hungary;2014;8856427.51;41
France;Ireland;2014;11017889.52;42
France;Italy;2014;89008075.13;43
France;Lithuania;2014;1481160.1;44
France;Luxembourg;2014;5058094.19;45
France;Latvia;2014;772672.37;46
France;Malta;2014;633602.15;47
France;Netherlands;2014;51661873.93;48
France;Poland;2014;20523717.41;49
France;Portugal;2014;12130524.81;50
France;Romania;2014;8723659.9;51
France;Slovak Republic;2014;7037766.26;52
France;Slovenia;2014;2606570.21;53
France;Sweden;2014;14031395.77;54
Germany;Austria;2015;105709400.84;1
Germany;Belgium;2015;86228560.8;2
Germany;Bulgaria;2015;7049379.89;3
Germany;Cyprus;2015;735391.69;4
Germany;Czech Republic;2015;83932540.57;5
Germany;Denmark;2015;32581918.91;6
Germany;Spain;2015;71981264.65;7
Germany;Estonia;2015;2382037;8
Germany;Finland;2015;19702463.08;9
Germany;France;2015;188107023.44;10
Germany;United Kingdom;2015;141261648.69;11
Germany;Greece;2015;7170396.02;12
Germany;Croatia;2015;4254007.65;13
Germany;Hungary;2015;50560268.42;14
Germany;Ireland;2015;18501520.18;15
Germany;Italy;2015;118659523.83;16
Germany;Lithuania;2015;4922104.85;17
Germany;Luxembourg;2015;9465181.76;18
Germany;Latvia;2015;2511801.1;19
Germany;Malta;2015;1091184.84;20
Germany;Netherlands;2015;185302602.02;21
Germany;Poland;2015;107440587.52;22
Germany;Portugal;2015;14481104.13;23
Germany;Romania;2015;25459797.84;24
Germany;Slovak Republic;2015;28655085.08;25
Germany;Slovenia;2015;10799042.2;26
Germany;Sweden;2015;41030135.94;27
France;Austria;2015;9941385.23;28
France;Belgium;2015;74416005.78;29
France;Bulgaria;2015;1974633.39;30
France;Cyprus;2015;340052.14;31
France;Czech Republic;2015;10960945.38;32
France;Germany;2015;175295204.04;33
France;Denmark;2015;5439159.47;34
France;Spain;2015;70983327.17;35
France;Estonia;2015;582691.37;36
France;Finland;2015;4288263.71;37
France;United Kingdom;2015;56627551.62;38
France;Greece;2015;3009157.67;39
France;Croatia;2015;594256.91;40
France;Hungary;2015;8088281.08;41
France;Ireland;2015;9910192.98;42
France;Italy;2015;77022594.45;43
France;Lithuania;2015;1223635.17;44
France;Luxembourg;2015;3781480.09;45
France;Latvia;2015;543625.99;46
France;Malta;2015;604980.77;47
France;Netherlands;2015;43132781.14;48
France;Poland;2015;18467934.03;49
France;Portugal;2015;10730988.09;50
France;Romania;2015;7516605.12;51
France;Slovak Republic;2015;6607364.21;52
France;Slovenia;2015;2054344.83;53
France;Sweden;2015;11928426.62;54
Germany;Austria;2016;107893404.65;1
Germany;Belgium;2016;87684018.05;2
Germany;Bulgaria;2016;7408557.7;3
Germany;Cyprus;2016;902940;4
Germany;Czech Republic;2016;89637700.28;5
Germany;Denmark;2016;33257952.21;6
Germany;Spain;2016;75248076.91;7
Germany;Estonia;2016;2524187.91;8
Germany;Finland;2016;19252537.82;9
Germany;France;2016;183586234.73;10
Germany;United Kingdom;2016;133496677.53;11
Germany;Greece;2016;7657497.06;12
Germany;Croatia;2016;4865527.2;13
Germany;Hungary;2016;53047418.62;14
Germany;Ireland;2016;19755572.29;15
Germany;Italy;2016;124518991.27;16
Germany;Lithuania;2016;5254713.25;17
Germany;Luxembourg;2016;9491831.64;18
Germany;Latvia;2016;2648990.51;19
Germany;Malta;2016;1086990.04;20
Germany;Netherlands;2016;179324562.08;21
Germany;Poland;2016;110333859.22;22
Germany;Portugal;2016;15259564.38;23
Germany;Romania;2016;29059020.52;24
Germany;Slovak Republic;2016;30212603.68;25
Germany;Slovenia;2016;11514290.57;26
Germany;Sweden;2016;43872997.49;27
France;Austria;2016;9324991.8;28
France;Belgium;2016;71185834.83;29
France;Bulgaria;2016;2075086.03;30
France;Cyprus;2016;351906.2;31
France;Czech Republic;2016;11539405.5;32
France;Germany;2016;173398629.66;33
France;Denmark;2016;5609185.23;34
France;Spain;2016;72413872.11;35
France;Estonia;2016;612650.56;36
France;Finland;2016;4421432.37;37
France;United Kingdom;2016;55982096.79;38
France;Greece;2016;2987739.66;39
France;Croatia;2016;663379.76;40
France;Hungary;2016;8050325.74;41
France;Ireland;2016;10566499.65;42
France;Italy;2016;77754300.33;43
France;Lithuania;2016;1289274.9;44
France;Luxembourg;2016;3843851.35;45
France;Latvia;2016;487329.72;46
France;Malta;2016;677447.13;47
France;Netherlands;2016;43216196.36;48
France;Poland;2016;19108764.23;49
France;Portugal;2016;11237285.75;50
France;Romania;2016;8211195.52;51
France;Slovak Republic;2016;7282623.53;52
France;Slovenia;2016;2049567.96;53
France;Sweden;2016;11592913.91;54
Germany;Austria;2017;116140571.38;1
Germany;Belgium;2017;94886256.75;2
Germany;Bulgaria;2017;8487147.79;3
Germany;Cyprus;2017;809935.5;4
Germany;Czech Republic;2017;98801867.49;5
Germany;Denmark;2017;34389361.28;6
Germany;Spain;2017;84337393.47;7
Germany;Estonia;2017;2776243.12;8
Germany;Finland;2017;21732975.67;9
Germany;France;2017;191739574.23;10
Germany;United Kingdom;2017;136185196.55;11
Germany;Greece;2017;8052876.99;12
Germany;Croatia;2017;5510607.41;13
Germany;Hungary;2017;57766744.22;14
Germany;Ireland;2017;22140928.07;15
Germany;Italy;2017;136861297.37;16
Germany;Lithuania;2017;5690931.02;17
Germany;Luxembourg;2017;10287660.99;18
Germany;Latvia;2017;2976361.37;19
Germany;Malta;2017;1042904.53;20
Germany;Netherlands;2017;186581105.49;21
