Germany;Partner;year;gdp_g;p_gdp;dist
Germany;Austria;2010;3417094562.649;391892746.545;523.91
Germany;Belgium;2010;3417094562.65;483548031.197;651.51
Germany;Bulgaria;2010;3417094562.651;50610343.68;1319.23
Germany;Cyprus;2010;3417094562.652;25560729.794;2489.79
Germany;Czech Republic;2010;3417094562.653;207477857.919;279.94
Germany;Denmark;2010;3417094562.654;321995350.347;445.46
Germany;Spain;2010;3417094562.655;1431616749.64;1870.33
Germany;Estonia;2010;3417094562.656;19502554.977;1040.71
Germany;Finland;2010;3417094562.657;247799815.768;1104.89
Germany;France;2010;3417094562.658;2642609548.93;878.32
Germany;United Kingdom;2010;3417094562.659;2452899665.124;932.24
Germany;Greece;2010;3417094562.66;299361576.558;1803.74
Germany;Croatia;2010;3417094562.661;59865854.205;769.34
Germany;Hungary;2010;3417094562.662;130922638.689;688.38
Germany;Ireland;2010;3417094562.663;222134046.003;1317.05
Germany;Italy;2010;3417094562.664;2125058244.243;1184.57
Germany;Lithuania;2010;3417094562.665;37130286.201;818.48
Germany;Luxembourg;2010;3417094562.666;53212476.812;602.83
Germany;Latvia;2010;3417094562.667;23765168.71;843.26
Germany;Malta;2010;3417094562.668;8740539.199;1849.02
Germany;Netherlands;2010;3417094562.669;846554894.931;577.54
Germany;Poland;2010;3417094562.67;479321460.551;516.57
Germany;Portugal;2010;3417094562.671;238303443.425;2313.56
Germany;Romania;2010;3417094562.672;166658327.827;1295.15
Germany;Slovak Republic;2010;3417094562.673;89501012.916;552.82
Germany;Slovenia;2010;3417094562.674;48013606.724;724.37
Germany;Sweden;2010;3417094562.675;488909078.695;810.44
France;Austria;2010;2642609548.93;391892746.545;1033.94
France;Belgium;2010;2642609548.94;483548031.197;264.39
France;Bulgaria;2010;2642609548.95;50610343.68;1758.11
France;Cyprus;2010;2642609548.96;25560729.794;2950.30
France;Czech Republic;2010;2642609548.97;207477857.919;882.31
France;Germany;2010;2642609548.98;3417094562.675;876.67
France;Denmark;2010;2642609548.99;321995350.347;948.06
France;Spain;2010;2642609548.100;1431616749.64;1052.79
France;Estonia;2010;2642609548.101;19502554.977;1859.15
France;Finland;2010;2642609548.102;247799815.768;1909.34
France;United Kingdom;2010;2642609548.103;2452899665.124;343.83
France;Greece;2010;2642609548.104;299361576.558;2096.15
France;Croatia;2010;2642609548.105;59865854.205;1079.81
France;Hungary;2010;2642609548.106;130922638.689;1244.66
France;Ireland;2010;2642609548.107;222134046.003;779.47
France;Italy;2010;2642609548.108;2125058244.243;1107.31
France;Lithuania;2010;2642609548.109;37130286.201;1696.86
France;Luxembourg;2010;2642609548.110;53212476.812;294.28
France;Latvia;2010;2642609548.111;23765168.71;1703.78
France;Malta;2010;2642609548.112;8740539.199;1748.91
France;Netherlands;2010;2642609548.113;846554894.931;430.64
France;Poland;2010;2642609548.114;479321460.551;1367.01
France;Portugal;2010;2642609548.115;238303443.425;1453.17
France;Romania;2010;2642609548.116;166658327.827;1871.11
France;Slovak Republic;2010;2642609548.117;89501012.916;1088.79
France;Slovenia;2010;2642609548.118;48013606.724;964.72
France;Sweden;2010;2642609548.119;488909078.695;1544.55
Germany;Austria;2011;3542160228.94;403346978.478;523.91
Germany;Belgium;2011;3542160228.941;492243705.582;651.51
Germany;Bulgaria;2011;3542160228.942;51579484.113;1319.23
Germany;Cyprus;2011;3542160228.943;25663902.459;2489.79
Germany;Czech Republic;2011;3542160228.944;211166468.132;279.94
Germany;Denmark;2011;3542160228.945;326299702.618;445.46
Germany;Spain;2011;3542160228.946;1417318263.21;1870.33
Germany;Estonia;2011;3542160228.947;20984222.627;1040.71
Germany;Finland;2011;3542160228.948;254170297.403;1104.89
Germany;France;2011;3542160228.949;2700554065.669;878.32
Germany;United Kingdom;2011;3542160228.95;2493244223.349;932.24
